Location,Fuel Type,Price $/mt,Date
Global 20 Ports Average,VLSFO,656.5,2024-02-27 15:41:40
Global 20 Ports Average,MGO,875.5,2024-02-27 15:41:40
Global 20 Ports Average,IFO380,504.5,2024-02-27 15:41:40
Global 4 Ports Average,VLSFO,617.0,2024-02-27 15:41:40
Global 4 Ports Average,MGO,829.5,2024-02-27 15:41:40
Global 4 Ports Average,IFO380,449.0,2024-02-27 15:41:40
Global Average Bunker Price,VLSFO,703.0,2024-02-27 15:41:40
Global Average Bunker Price,MGO,932.0,2024-02-27 15:41:40
Global Average Bunker Price,IFO380,529.5,2024-02-27 15:41:40
Americas Average,VLSFO,757.0,2024-02-27 15:41:40
Americas Average,MGO,993.5,2024-02-27 15:41:40
Americas Average,IFO380,580.0,2024-02-27 15:41:40
APAC Average,VLSFO,697.5,2024-02-27 15:41:40
APAC Average,MGO,908.5,2024-02-27 15:41:40
APAC Average,IFO380,487.0,2024-02-27 15:41:40
EMEA Average,VLSFO,660.5,2024-02-27 15:41:40
EMEA Average,MGO,893.5,2024-02-27 15:41:40
EMEA Average,IFO380,530.0,2024-02-27 15:41:40
Singapore,VLSFO,632.0,2024-02-27 15:41:40
Singapore,MGO,794.0,2024-02-27 15:41:40
Singapore,IFO380,444.5,2024-02-27 15:41:40
Rotterdam,VLSFO,578.5,2024-02-27 15:41:40
Rotterdam,MGO,795.0,2024-02-27 15:41:40
Rotterdam,IFO380,459.5,2024-02-27 15:41:40
Houston,VLSFO,633.0,2024-02-27 15:41:40
Houston,MGO,843.5,2024-02-27 15:41:40
Houston,IFO380,461.0,2024-02-27 15:41:40
Fujairah,VLSFO,625.5,2024-02-27 15:41:40
Fujairah,MGO,884.5,2024-02-27 15:41:40
Fujairah,IFO380,430.0,2024-02-27 15:41:40
LA / Long Beach,VLSFO,704.0,2024-02-27 15:41:40
LA / Long Beach,MGO,927.0,2024-02-27 15:41:40
LA / Long Beach,IFO380,470.0,2024-02-27 15:41:40
Hong Kong,VLSFO,635.5,2024-02-27 15:41:40
Hong Kong,MGO,801.5,2024-02-27 15:41:40
Hong Kong,IFO380,453.5,2024-02-27 15:41:40
New York,VLSFO,592.0,2024-02-27 15:41:40
New York,MGO,861.5,2024-02-27 15:41:40
New York,IFO380,532.0,2024-02-27 15:41:40
Santos,VLSFO,647.0,2024-02-27 15:41:40
Santos,MGO,947.0,2024-02-27 15:41:40
